domain,domain_type,organization_name,suborganization_name,topic
joinamericorps.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,GeneralGovernment
mentor.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,GeneralGovernment
mlkday.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,GeneralGovernment
nationalservice.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,GeneralGovernment
presidentialserviceawards.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,GeneralGovernment
serve.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,GeneralGovernment
vistacampus.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,GeneralGovernment
volunteeringinamerica.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,GeneralGovernment
cigie.gov,Federal - Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,GeneralGovernment
ignet.gov,Federal - Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,GeneralGovernment
oversight.gov,Federal - Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,GeneralGovernment
pandemicoversight.gov,Federal - Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,HealthAndEnvironment
csosa.gov,Federal - Executive,Court Services and Offender Supervision Agency for the District of Columbia,,GeneralGovernment
pretrialservices.gov,Federal - Executive,Court Services and Offender Supervision Agency for the District of Columbia,Pretrial Services Agency for the District of Columbia,GeneralGovernment
psa.gov,Federal - Executive,Court Services and Offender Supervision Agency for the District of Columbia,,GeneralGovernment
dnfsb.gov,Federal - Executive,Defense Nuclear Facilities Safety Board,,DefenseAndMilitary
dra.gov,Federal - Executive,Delta Regional Authority,,GeneralGovernment
denali.gov,Federal - Executive,Denali Commission,,GeneralGovernment
22007apply.gov,Federal - Executive,Department of Agriculture,,HealthAndEnvironment
aff.gov,Federal - Executive,Department of Agriculture,,HealthAndEnvironment
ag.gov,Federal - Executive,Department of Agriculture,,HealthAndEnvironment
ars-grin.gov,Federal - Executive,Department of Agriculture,Agricultural Research Service,ScienceAndTechnology
arsusda.gov,Federal - Executive,Department of Agriculture,Agricultural Research Service,ScienceAndTechnology
biopreferred.gov,Federal - Executive,Department of Agriculture,Rural Development,HealthAndEnvironment
bosque.gov,Federal - Executive,Department of Agriculture,Forest Service,HealthAndEnvironment
choosemyplate.gov,Federal - Executive,Department of Agriculture,Food and Nutrition Service,HealthAndEnvironment
connect.gov,Federal - Executive,Department of Agriculture,Office of Chief Information Officer,HealthAndEnvironment
dietaryguidelines.gov,Federal - Executive,Department of Agriculture,Food and Nutrition Service,HealthAndEnvironment
empowhr.gov,Federal - Executive,Department of Agriculture,Office of Chief Financial Officer,CyberSecurity
execsec.gov,Federal - Executive,Department of Agriculture,,FinanceAndEconomy
farmerfairness.gov,Federal - Executive,Department of Agriculture,Agricultural Marketing Service,HealthAndEnvironment
farmers.gov,Federal - Executive,Department of Agriculture,Office of Communications,HealthAndEnvironment
fedsfeedfamilies.gov,Federal - Executive,Department of Agriculture,Office of Communications,HealthAndEnvironment
forestsandrangelands.gov,Federal - Executive,Department of Agriculture,Forest Service,PublicSafety
invasivespeciesinfo.gov,Federal - Executive,Department of Agriculture,Agricultural Research Service,ScienceAndTechnology
itap.gov,Federal - Executive,Department of Agriculture,Agricultural Research Service,ScienceAndTechnology
lcacommons.gov,Federal - Executive,Department of Agriculture,Agricultural Research Service,ScienceAndTechnology
myplate.gov,Federal - Executive,Department of Agriculture,Food and Nutrition Service,HealthAndEnvironment
nafri.gov,Federal - Executive,Department of Agriculture,Forest Service,HealthAndEnvironment
nutrition.gov,Federal - Executive,Department of Agriculture,Office of Communications,HealthAndEnvironment
nwcg.gov,Federal - Executive,Department of Agriculture,,HealthAndEnvironment
rec.gov,Federal - Executive,Department of Agriculture,Forest Service,HealthAndEnvironment
recreation.gov,Federal - Executive,Department of Agriculture,Forest Service,HealthAndEnvironment
rural.gov,Federal - Executive,Department of Agriculture,Rural Development,HealthAndEnvironment
screwworm.gov,Federal - Executive,Department of Agriculture,Office of Communications,HealthAndEnvironment
symbols.gov,Federal - Executive,Department of Agriculture,Forest Service,HealthAndEnvironment
usda.gov,Federal - Executive,Department of Agriculture,,HealthAndEnvironment
usdapii.gov,Federal - Executive,Department of Agriculture,,HealthAndEnvironment
wildfire.gov,Federal - Executive,Department of Agriculture,,PublicSafety
aicenter.gov,Federal - Executive,Department of Commerce,International Trade Administration,ScienceAndTechnology
aiexports.gov,Federal - Executive,Department of Commerce,International Trade Administration,ScienceAndTechnology
ap.gov,Federal - Executive,Department of Commerce,Bureau of Industry and Security,FinanceAndEconomy
aviationweather.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
bea.gov,Federal - Executive,Department of Commerce,Bureau of Economic Analysis,HealthAndEnvironment
bis.gov,Federal - Executive,Department of Commerce,Bureau of Industry and Security,FinanceAndEconomy
bldrdoc.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,ScienceAndTechnology
census.gov,Federal - Executive,Department of Commerce,Bureau of the Census,HealthAndEnvironment
chips.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,ScienceAndTechnology
climate.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
commerce.gov,Federal - Executive,Department of Commerce,,HealthAndEnvironment
cwc.gov,Federal - Executive,Department of Commerce,Bureau of Industry and Security,FinanceAndEconomy
dataprivacyframework.gov,Federal - Executive,Department of Commerce,International Trade Administration,ScienceAndTechnology
dnsops.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,ScienceAndTechnology
doc.gov,Federal - Executive,Department of Commerce,,HealthAndEnvironment
drought.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
eda.gov,Federal - Executive,Department of Commerce,Economic Development Administration,ScienceAndTechnology
edison.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,ScienceAndTechnology
export.gov,Federal - Executive,Department of Commerce,International Trade Administration,ScienceAndTechnology
firstnet.gov,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,ScienceAndTechnology
fishwatch.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
goes-r.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
gps.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
heat.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
hurricanes.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
icams-portal.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
icts.gov,Federal - Executive,Department of Commerce,Bureau of Industry and Security,FinanceAndEconomy
iedison.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,ScienceAndTechnology
internet4all.gov,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,ScienceAndTechnology
internetforall.gov,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,ScienceAndTechnology
investinamerica.gov,Federal - Executive,Department of Commerce,Office of the Secretary,FinanceAndEconomy
luca-appeals.gov,Federal - Executive,Department of Commerce,Bureau of the Census,HealthAndEnvironment
manufacturing.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,ScienceAndTechnology
marinecadastre.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,DefenseAndMilitary
mbda.gov,Federal - Executive,Department of Commerce,Minority Business Development Agency,HealthAndEnvironment
mgi.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,ScienceAndTechnology
nehrp.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,ScienceAndTechnology
nist.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,ScienceAndTechnology
noaa.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
ntia.gov,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,ScienceAndTechnology
ntis.gov,Federal - Executive,Department of Commerce,National Technical Information Service,HealthAndEnvironment
nwirp.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,ScienceAndTechnology
papahanaumokuakea.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
privacyshield.gov,Federal - Executive,Department of Commerce,International Trade Administration,ScienceAndTechnology
pscr.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,ScienceAndTechnology
sdr.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
selectusa.gov,Federal - Executive,Department of Commerce,International Trade Administration,ScienceAndTechnology
semiconductors.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,ScienceAndTechnology
spaceweather.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
spd15revision.gov,Federal - Executive,Department of Commerce,Bureau of the Census,HealthAndEnvironment
spectrum.gov,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,ScienceAndTechnology
standards.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,ScienceAndTechnology
stopfakes.gov,Federal - Executive,Department of Commerce,International Trade Administration,ScienceAndTechnology
sworm.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
tasefiling.gov,Federal - Executive,Department of Commerce,International Trade Administration,ScienceAndTechnology
techhubs.gov,Federal - Executive,Department of Commerce,,HealthAndEnvironment
time.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,ScienceAndTechnology
tracss.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
trade.gov,Federal - Executive,Department of Commerce,International Trade Administration,ScienceAndTechnology
trumpgoldcard.gov,Federal - Executive,Department of Commerce,,HealthAndEnvironment
tsunami.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
usicecenter.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
uspto.gov,Federal - Executive,Department of Commerce,U.S. Patent and Trademark Office,ScienceAndTechnology
weather.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,ScienceAndTechnology
wwtg.gov,Federal - Executive,Department of Commerce,International Trade Administration,ScienceAndTechnology
xd.gov,Federal - Executive,Department of Commerce,Bureau of the Census,HealthAndEnvironment
adlnet.gov,Federal - Executive,Department of Defense,Defense Human Resources Activity,DefenseAndMilitary
aftac.gov,Federal - Executive,Department of Defense,Air Force,DefenseAndMilitary
altusandc.gov,Federal - Executive,Department of Defense,Air Force,DefenseAndMilitary
blueroof.gov,Federal - Executive,Department of Defense,Army,DefenseAndMilitary
businessdefense.gov,Federal - Executive,Department of Defense,Office of the Secretary of Defense,DefenseAndMilitary
cap.gov,Federal - Executive,Department of Defense,Air Force,DefenseAndMilitary
capnhq.gov,Federal - Executive,Department of Defense,Air Force,DefenseAndMilitary
cmts.gov,Federal - Executive,Department of Defense,Army,DefenseAndMilitary
cnss.gov,Federal - Executive,Department of Defense,Office of the Secretary of Defense,DefenseAndMilitary
cttso.gov,Federal - Executive,Department of Defense,Office of the Secretary of Defense,DefenseAndMilitary
dc3on.gov,Federal - Executive,Department of Defense,Air Force,DefenseAndMilitary
defense.gov,Federal - Executive,Department of Defense,Defense Media Activity,IntelligenceCommunity
doddns.gov,Federal - Executive,Department of Defense,Office of the Secretary of Defense,DefenseAndMilitary
ecs.gov,Federal - Executive,Department of Defense,Office of the Secretary of Defense,DefenseAndMilitary
ehr.gov,Federal - Executive,Department of Defense,Defense Health Agency,DefenseAndMilitary
fehrm.gov,Federal - Executive,Department of Defense,Defense Health Agency,DefenseAndMilitary
fvap.gov,Federal - Executive,Department of Defense,Office of the Secretary of Defense,DefenseAndMilitary
hive.gov,Federal - Executive,Department of Defense,Defense Health Agency,DefenseAndMilitary
iad.gov,Federal - Executive,Department of Defense,National Security Agency,DefenseAndMilitary
intelligencecareers.gov,Federal - Executive,Department of Defense,National Security Agency,IntelligenceCommunity
ioss.gov,Federal - Executive,Department of Defense,Interagency OPSEC Support Staff,DefenseAndMilitary
iwtsd.gov,Federal - Executive,Department of Defense,Office of the Secretary of Defense,DefenseAndMilitary
jccs.gov,Federal - Executive,Department of Defense,Defense Logistics Agency,DefenseAndMilitary
lps.gov,Federal - Executive,Department of Defense,National Security Agency,DefenseAndMilitary
mds.gov,Federal - Executive,Department of Defense,Office of the Secretary of Defense,DefenseAndMilitary
mtmc.gov,Federal - Executive,Department of Defense,,DefenseAndMilitary
mypay.gov,Federal - Executive,Department of Defense,Defense Finance and Accounting Service,DefenseAndMilitary
nationalresourcedirectory.gov,Federal - Executive,Department of Defense,Defense Health Agency,DefenseAndMilitary
nbib.gov,Federal - Executive,Department of Defense,Defense Counterintelligence and Security Agency,IntelligenceCommunity
nrd.gov,Federal - Executive,Department of Defense,Defense Health Agency,DefenseAndMilitary
nro.gov,Federal - Executive,Department of Defense,National Reconnaissance Office,IntelligenceCommunity
nsa.gov,Federal - Executive,Department of Defense,National Security Agency,CyberSecurity
nsep.gov,Federal - Executive,Department of Defense,Defense Human Resources Activity,DefenseAndMilitary
oea.gov,Federal - Executive,Department of Defense,Office of Economic Adjustment,DefenseAndMilitary
oldcc.gov,Federal - Executive,Department of Defense,Office of the Secretary of Defense,DefenseAndMilitary
oneaftac.gov,Federal - Executive,Department of Defense,Air Force,DefenseAndMilitary
tak.gov,Federal - Executive,Department of Defense,Army,DefenseAndMilitary
tswg.gov,Federal - Executive,Department of Defense,Office of the Secretary of Defense,DefenseAndMilitary
ukraineoversight.gov,Federal - Executive,Department of Defense,Office of the Inspector General,DefenseAndMilitary
usandc.gov,Federal - Executive,Department of Defense,Air Force,DefenseAndMilitary
usgovdod.gov,Federal - Executive,Department of Defense,Office of the Secretary of Defense,DefenseAndMilitary
war.gov,Federal - Executive,Department of Defense,,DefenseAndMilitary
budgetlob.gov,Federal - Executive,Department of Education,Office of the Chief Information Officer,FinanceAndEconomy
childstats.gov,Federal - Executive,Department of Education,Office of the Chief Information Officer,HealthAndEnvironment
collegenavigator.gov,Federal - Executive,Department of Education,Office of the Chief Information Officer,HealthAndEnvironment
ed.gov,Federal - Executive,Department of Education,Office of the Chief Information Officer,HealthAndEnvironment
fafsa.gov,Federal - Executive,Department of Education,,HealthAndEnvironment
foreignfundinghighered.gov,Federal - Executive,Department of Education,Office of the Chief Information Officer,HealthAndEnvironment
g5.gov,Federal - Executive,Department of Education,Office of the Chief Information Officer,HealthAndEnvironment
nagb.gov,Federal - Executive,Department of Education,Office of the Chief Information Officer,HealthAndEnvironment
nationsreportcard.gov,Federal - Executive,Department of Education,Office of the Chief Information Officer,HealthAndEnvironment
studentaid.gov,Federal - Executive,Department of Education,,HealthAndEnvironment
studentloans.gov,Federal - Executive,Department of Education,,HealthAndEnvironment
ameslab.gov,Federal - Executive,Department of Energy,Ames National Laboratory,ScienceAndTechnology
anl.gov,Federal - Executive,Department of Energy,Argonne National Laboratory,ScienceAndTechnology
arm.gov,Federal - Executive,Department of Energy,Battelle Pacific Northwest National Laboratory,ScienceAndTechnology
biomassboard.gov,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,ScienceAndTechnology
bnl.gov,Federal - Executive,Department of Energy,Brookhaven National Laboratory,ScienceAndTechnology
bpa.gov,Federal - Executive,Department of Energy,Bonneville Power Administration,ScienceAndTechnology
casl.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,ScienceAndTechnology
cebaf.gov,Federal - Executive,Department of Energy,Thomas Jefferson National Accelerator Facility,ScienceAndTechnology
cendi.gov,Federal - Executive,Department of Energy,Office of Scientific and Technical Information,ScienceAndTechnology
citap.gov,Federal - Executive,Department of Energy,Office of the Chief Information Officer,ScienceAndTechnology
doe.gov,Federal - Executive,Department of Energy,Office of the Chief Information Officer,ScienceAndTechnology
driveelectric.gov,Federal - Executive,Department of Energy,National Renewable Energy Laboratory,ScienceAndTechnology
eia.gov,Federal - Executive,Department of Energy,Energy Information Administration,ScienceAndTechnology
energycodes.gov,Federal - Executive,Department of Energy,Department of Energy Bulding Energy Codes Program,ScienceAndTechnology
energy.gov,Federal - Executive,Department of Energy,Office of the Chief Information Officer,ScienceAndTechnology
energysaver.gov,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,ScienceAndTechnology
energysavers.gov,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,ScienceAndTechnology
fnal.gov,Federal - Executive,Department of Energy,Fermi National Accelerator Laboratory,ScienceAndTechnology
fueleconomy.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,ScienceAndTechnology
hanford.gov,Federal - Executive,Department of Energy,Hanford Mission Integration Solutions,ScienceAndTechnology
homeenergyscore.gov,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,ScienceAndTechnology
hydrogen.gov,Federal - Executive,Department of Energy,Research and Special Programs Administration / Volpe,CyberSecurity
inel.gov,Federal - Executive,Department of Energy,Idaho National Laboratory,ScienceAndTechnology
inl.gov,Federal - Executive,Department of Energy,Idaho National Laboratory,ScienceAndTechnology
isotope.gov,Federal - Executive,Department of Energy,The National Isotope Development Center,ScienceAndTechnology
isotopes.gov,Federal - Executive,Department of Energy,The National Isotope Development Center,ScienceAndTechnology
lanl.gov,Federal - Executive,Department of Energy,Los Alamos National Laboratory,ScienceAndTechnology
lbl.gov,Federal - Executive,Department of Energy,Lawrence Berkeley National Laboratory,ScienceAndTechnology
llnl.gov,Federal - Executive,Department of Energy,Lawrence Livermore National Laboratory,ScienceAndTechnology
nccs.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,ScienceAndTechnology
ncrc.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,ScienceAndTechnology
nersc.gov,Federal - Executive,Department of Energy,National Energy Research Scientific Computing Center,ScienceAndTechnology
neup.gov,Federal - Executive,Department of Energy,Office of Nuclear Energy,ScienceAndTechnology
nlr.gov,Federal - Executive,Department of Energy,National Renewable Energy Laboratory,ScienceAndTechnology
nnss.gov,Federal - Executive,Department of Energy,"National Nuclear Security Administration, National Security Technologies, LLC",ScienceAndTechnology
nrel.gov,Federal - Executive,Department of Energy,National Renewable Energy Laboratory,ScienceAndTechnology
nrelhub.gov,Federal - Executive,Department of Energy,National Renewable Energy Laboratory,ScienceAndTechnology
ntrc.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,ScienceAndTechnology
nuclear.gov,Federal - Executive,Department of Energy,,ScienceAndTechnology
orau.gov,Federal - Executive,Department of Energy,Oak Ridge Associated Universities,CyberSecurity
ornl.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,ScienceAndTechnology
osti.gov,Federal - Executive,Department of Energy,Office of Scientific and Technical Information,ScienceAndTechnology
pcast.gov,Federal - Executive,Department of Energy,,ScienceAndTechnology
pnl.gov,Federal - Executive,Department of Energy,Pacific Northwest National Laboratory,ScienceAndTechnology
pnnl.gov,Federal - Executive,Department of Energy,Pacific Northwest National Laboratory,ScienceAndTechnology
pppl.gov,Federal - Executive,Department of Energy,Princeton Plasma Physics Lab,ScienceAndTechnology
pppo.gov,Federal - Executive,Department of Energy,Portsmouth/Paducah Project Office,ScienceAndTechnology
rideelectric.gov,Federal - Executive,Department of Energy,,ScienceAndTechnology
rl.gov,Federal - Executive,Department of Energy,Hanford Mission Integration Solutions,ScienceAndTechnology
safgrandchallenge.gov,Federal - Executive,Department of Energy,,ScienceAndTechnology
sandia.gov,Federal - Executive,Department of Energy,Sandia National Laboratories,IntelligenceCommunity
scidac.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,ScienceAndTechnology
science.gov,Federal - Executive,Department of Energy,Office of Scientific and Technical Information,ScienceAndTechnology
smartgrid.gov,Federal - Executive,Department of Energy,Office of Electricity Delivery and Energy Reliability,ScienceAndTechnology
sns.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,ScienceAndTechnology
solardecathlon.gov,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,ScienceAndTechnology
srnl.gov,Federal - Executive,Department of Energy,Savannah River National Lab,ScienceAndTechnology
srs.gov,Federal - Executive,Department of Energy,Savannah River Nuclear Solutions (SRNS),ScienceAndTechnology
swpa.gov,Federal - Executive,Department of Energy,Southwestern Power Administration,ScienceAndTechnology
unnpp.gov,Federal - Executive,Department of Energy,"National Nuclear Security Administration/Fluor Marine Propulsion, LLC",DefenseAndMilitary
unrpnet.gov,Federal - Executive,Department of Energy,Office of Naval Reactors,ScienceAndTechnology
wapa.gov,Federal - Executive,Department of Energy,Western Area Power Administration,ScienceAndTechnology
ymp.gov,Federal - Executive,Department of Energy,Office of Legacy Management,ScienceAndTechnology
988.gov,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,ScienceAndTechnology
aanhpiheritage.gov,Federal - Executive,Department of Health and Human Services,Office of Assistant Secretary of Public Affairs,FinanceAndEconomy
acf.gov,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,ScienceAndTechnology
acl.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,ScienceAndTechnology
afterschool.gov,Federal - Executive,Department of Health and Human Services,"Assistant Secretary for Planning and Evaluation, Office of the Secretary",FinanceAndEconomy
aging.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary of Health and Human Services,FinanceAndEconomy
agingstats.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,ScienceAndTechnology
aha.gov,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,ScienceAndTechnology
ahcpr.gov,Federal - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,ScienceAndTechnology
ahrq.gov,Federal - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,ScienceAndTechnology
aids.gov,Federal - Executive,Department of Health and Human Services,Office of the Assistant Secretary for Health,FinanceAndEconomy
alzheimers.gov,Federal - Executive,Department of Health and Human Services,"National Institutes on Aging, NIH",HealthAndEnvironment
